Date;Time of day;Total (grid load)[MWh]
Nov 13, 2021;12:00 AM;13,138
Nov 13, 2021;12:15 AM;12,892
Nov 13, 2021;12:30 AM;12,707
Nov 13, 2021;12:45 AM;12,648
Nov 13, 2021;1:00 AM;12,569
Nov 13, 2021;1:15 AM;12,447
Nov 13, 2021;1:30 AM;12,300
Nov 13, 2021;1:45 AM;12,226
Nov 13, 2021;2:00 AM;12,201
Nov 13, 2021;2:15 AM;12,117
Nov 13, 2021;2:30 AM;12,090
Nov 13, 2021;2:45 AM;12,004
Nov 13, 2021;3:00 AM;12,049
Nov 13, 2021;3:15 AM;12,019
Nov 13, 2021;3:30 AM;11,992
Nov 13, 2021;3:45 AM;11,938
Nov 13, 2021;4:00 AM;12,015
Nov 13, 2021;4:15 AM;12,016
Nov 13, 2021;4:30 AM;12,176
Nov 13, 2021;4:45 AM;12,124
Nov 13, 2021;5:00 AM;12,253
Nov 13, 2021;5:15 AM;12,208
Nov 13, 2021;5:30 AM;12,221
Nov 13, 2021;5:45 AM;12,323
Nov 13, 2021;6:00 AM;12,407
Nov 13, 2021;6:15 AM;12,524
Nov 13, 2021;6:30 AM;12,617
Nov 13, 2021;6:45 AM;12,837
Nov 13, 2021;7:00 AM;13,089
Nov 13, 2021;7:15 AM;13,270
Nov 13, 2021;7:30 AM;13,330
Nov 13, 2021;7:45 AM;13,546
Nov 13, 2021;8:00 AM;13,835
Nov 13, 2021;8:15 AM;13,997
Nov 13, 2021;8:30 AM;14,180
Nov 13, 2021;8:45 AM;14,299
Nov 13, 2021;9:00 AM;14,632
Nov 13, 2021;9:15 AM;14,827
Nov 13, 2021;9:30 AM;14,908
Nov 13, 2021;9:45 AM;14,994
Nov 13, 2021;10:00 AM;15,104
Nov 13, 2021;10:15 AM;15,194
Nov 13, 2021;10:30 AM;15,275
Nov 13, 2021;10:45 AM;15,288
Nov 13, 2021;11:00 AM;15,290
Nov 13, 2021;11:15 AM;15,425
Nov 13, 2021;11:30 AM;15,504
Nov 13, 2021;11:45 AM;15,428
Nov 13, 2021;12:00 PM;15,366
Nov 13, 2021;12:15 PM;15,313
Nov 13, 2021;12:30 PM;15,286
Nov 13, 2021;12:45 PM;15,192
Nov 13, 2021;1:00 PM;14,995
Nov 13, 2021;1:15 PM;14,827
Nov 13, 2021;1:30 PM;14,720
Nov 13, 2021;1:45 PM;14,594
Nov 13, 2021;2:00 PM;14,554
Nov 13, 2021;2:15 PM;14,445
Nov 13, 2021;2:30 PM;14,391
Nov 13, 2021;2:45 PM;14,347
Nov 13, 2021;3:00 PM;14,347
Nov 13, 2021;3:15 PM;14,374
Nov 13, 2021;3:30 PM;14,377
Nov 13, 2021;3:45 PM;14,344
Nov 13, 2021;4:00 PM;14,527
Nov 13, 2021;4:15 PM;14,595
Nov 13, 2021;4:30 PM;14,688
Nov 13, 2021;4:45 PM;14,864
Nov 13, 2021;5:00 PM;15,196
Nov 13, 2021;5:15 PM;15,344
Nov 13, 2021;5:30 PM;15,382
Nov 13, 2021;5:45 PM;15,345
Nov 13, 2021;6:00 PM;15,348
Nov 13, 2021;6:15 PM;15,319
Nov 13, 2021;6:30 PM;15,201
Nov 13, 2021;6:45 PM;15,078
Nov 13, 2021;7:00 PM;14,921
Nov 13, 2021;7:15 PM;14,751
Nov 13, 2021;7:30 PM;14,618
Nov 13, 2021;7:45 PM;14,427
Nov 13, 2021;8:00 PM;14,062
Nov 13, 2021;8:15 PM;13,879
Nov 13, 2021;8:30 PM;13,712
Nov 13, 2021;8:45 PM;13,506
Nov 13, 2021;9:00 PM;13,284
Nov 13, 2021;9:15 PM;13,171
Nov 13, 2021;9:30 PM;13,085
Nov 13, 2021;9:45 PM;12,952
Nov 13, 2021;10:00 PM;12,952
Nov 13, 2021;10:15 PM;12,857
Nov 13, 2021;10:30 PM;12,658
Nov 13, 2021;10:45 PM;12,477
Nov 13, 2021;11:00 PM;12,224
Nov 13, 2021;11:15 PM;12,100
Nov 13, 2021;11:30 PM;11,932
Nov 13, 2021;11:45 PM;11,682
