Date;Time of day;Total (grid load)[MWh]
Nov 13, 2021;12:00 AM;12,662
Nov 13, 2021;12:15 AM;12,537
Nov 13, 2021;12:30 AM;12,437
Nov 13, 2021;12:45 AM;12,341
Nov 13, 2021;1:00 AM;12,164
Nov 13, 2021;1:15 AM;12,064
Nov 13, 2021;1:30 AM;11,968
Nov 13, 2021;1:45 AM;11,926
Nov 13, 2021;2:00 AM;11,842
Nov 13, 2021;2:15 AM;11,802
Nov 13, 2021;2:30 AM;11,735
Nov 13, 2021;2:45 AM;11,727
Nov 13, 2021;3:00 AM;11,751
Nov 13, 2021;3:15 AM;11,719
Nov 13, 2021;3:30 AM;11,697
Nov 13, 2021;3:45 AM;11,667
Nov 13, 2021;4:00 AM;11,734
Nov 13, 2021;4:15 AM;11,716
Nov 13, 2021;4:30 AM;11,684
Nov 13, 2021;4:45 AM;11,687
Nov 13, 2021;5:00 AM;11,740
Nov 13, 2021;5:15 AM;11,753
Nov 13, 2021;5:30 AM;11,824
Nov 13, 2021;5:45 AM;11,840
Nov 13, 2021;6:00 AM;11,910
Nov 13, 2021;6:15 AM;12,103
Nov 13, 2021;6:30 AM;12,311
Nov 13, 2021;6:45 AM;12,499
Nov 13, 2021;7:00 AM;12,689
Nov 13, 2021;7:15 AM;12,794
Nov 13, 2021;7:30 AM;12,906
Nov 13, 2021;7:45 AM;13,078
Nov 13, 2021;8:00 AM;13,371
Nov 13, 2021;8:15 AM;13,581
Nov 13, 2021;8:30 AM;13,774
Nov 13, 2021;8:45 AM;13,972
Nov 13, 2021;9:00 AM;14,163
Nov 13, 2021;9:15 AM;14,314
Nov 13, 2021;9:30 AM;14,464
Nov 13, 2021;9:45 AM;14,635
Nov 13, 2021;10:00 AM;14,708
Nov 13, 2021;10:15 AM;14,792
Nov 13, 2021;10:30 AM;14,903
Nov 13, 2021;10:45 AM;14,991
Nov 13, 2021;11:00 AM;15,004
Nov 13, 2021;11:15 AM;15,036
Nov 13, 2021;11:30 AM;15,073
Nov 13, 2021;11:45 AM;15,059
Nov 13, 2021;12:00 PM;15,045
Nov 13, 2021;12:15 PM;15,023
Nov 13, 2021;12:30 PM;15,035
Nov 13, 2021;12:45 PM;14,966
Nov 13, 2021;1:00 PM;14,840
Nov 13, 2021;1:15 PM;14,693
Nov 13, 2021;1:30 PM;14,603
Nov 13, 2021;1:45 PM;14,494
Nov 13, 2021;2:00 PM;14,431
Nov 13, 2021;2:15 PM;14,283
Nov 13, 2021;2:30 PM;14,200
Nov 13, 2021;2:45 PM;14,096
Nov 13, 2021;3:00 PM;14,049
Nov 13, 2021;3:15 PM;14,060
Nov 13, 2021;3:30 PM;14,057
Nov 13, 2021;3:45 PM;14,073
Nov 13, 2021;4:00 PM;14,170
Nov 13, 2021;4:15 PM;14,168
Nov 13, 2021;4:30 PM;14,210
Nov 13, 2021;4:45 PM;14,403
Nov 13, 2021;5:00 PM;14,831
Nov 13, 2021;5:15 PM;14,963
Nov 13, 2021;5:30 PM;15,117
Nov 13, 2021;5:45 PM;15,168
Nov 13, 2021;6:00 PM;15,217
Nov 13, 2021;6:15 PM;15,169
Nov 13, 2021;6:30 PM;15,118
Nov 13, 2021;6:45 PM;15,109
Nov 13, 2021;7:00 PM;14,991
Nov 13, 2021;7:15 PM;14,832
Nov 13, 2021;7:30 PM;14,771
Nov 13, 2021;7:45 PM;14,631
Nov 13, 2021;8:00 PM;14,434
Nov 13, 2021;8:15 PM;14,230
Nov 13, 2021;8:30 PM;14,069
Nov 13, 2021;8:45 PM;13,843
Nov 13, 2021;9:00 PM;13,700
Nov 13, 2021;9:15 PM;13,637
Nov 13, 2021;9:30 PM;13,566
Nov 13, 2021;9:45 PM;13,471
Nov 13, 2021;10:00 PM;13,641
Nov 13, 2021;10:15 PM;13,434
Nov 13, 2021;10:30 PM;13,339
Nov 13, 2021;10:45 PM;13,171
Nov 13, 2021;11:00 PM;12,921
Nov 13, 2021;11:15 PM;12,776
Nov 13, 2021;11:30 PM;12,609
Nov 13, 2021;11:45 PM;12,493
